x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764288339.5372372,0.010000228881835938,0.8,0.8,0,-0.3,-0.28,-0.3,7.46,-7.95,2.44,0.13,0.13,0.3,0.34,-0.0043633231299859965,-0.10908307824966101,0.18777429932577672,-0.033918612493740063,0.634690446556263,0.05251032966748781
1764288339.5472376,0.010000228881835938,0.8,0.8,0,-0.3,-0.29,-0.3,6.48,-9.48,2.58,0.14,0.14,0.35,0.34,-0.0054541539124821625,-0.1090830782496166,0.19429633291416648,-0.03345133172791481,0.6522033588389764,0.04672807658252509
1764288339.5672386,0.010000228881835938,0.8,0.8,0,-0.3,-0.29,-0.3,5.3,-8.79,1.81,0.14,0.14,0.31,0.3,-0.0054541539124821625,0.0,0.2081925173631154,-0.0331945846401247,0.7105885714886018,-0.01288761605220401
1764288339.577239,0.010000228881835938,0.8,0.8,0,-0.25,-0.3,-0.32,6.14,-9.9,1.81,0.14,0.14,0.34,0.34,-0.0043633231299859965,0.1090830782496166,0.21549976712021657,-0.034256828604704914,0.7307249757101175,-0.10622439645802118
1764288339.59724,0.010000228881835938,0.8,0.8,0,-0.25,-0.31,-0.32,5.3,-10.11,0.91,0.15,0.15,0.32,0.33,0.0,0.32724923474893863,0.23109891493743717,-0.04169553709190765,0.7891682443189385,-0.46584762692756243
1764288339.6075408,0.010298728942871094,0.8,0.8,0,-0.28,-0.32,-0.33,5.44,-9.55,0.7,0.15,0.15,0.3,0.33,0.002181661564992332,0.2181661564992332,0.23941654627938913,-0.047410077866268274,0.8317631341951959,-0.5714540774360621
1764288339.627579,0.010000467300415039,0.8,0.8,0,-0.31,-0.34,-0.32,6.97,-9.62,2.16,0.15,0.15,0.34,0.36,0.006544984694978773,0.10908307824966101,0.2570015640834802,-0.05921146698124957,0.8872182703893561,-0.5906769009640378
1764288339.64758,0.010000228881835938,0.8,0.8,0,-0.32,-0.35,-0.33,6.69,-9.9,2.65,0.16,0.16,0.36,0.34,0.007635815477475383,0.0,0.2759473020585448,-0.06666630781779359,0.9735985070168152,-0.2698729510178577
1764288339.6585512,0.010967493057250977,0.8,0.8,0,-0.35,-0.35,-0.34,6.62,-9.69,2.93,0.16,0.16,0.36,0.33,0.006544984694978773,-0.10908307824966101,0.28607241667696925,-0.06817054462269301,1.012511461842447,-0.1504236804899417
1764288339.6785522,0.010000228881835938,0.8,0.8,0,-0.34,-0.34,-0.34,7.39,-8.99,2.79,0.17,0.17,0.34,0.35,0.004363323129985552,-0.10908307824966101,0.3067186472128194,-0.06764020427598494,1.0498141101133118,0.09873336305399327
