x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764287737.7025406,0.010000228881835938,1.0,0.0,0,-0.04,-0.05,-0.03,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287737.7225413,0.010000228881835938,1.0,0.0,0,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287737.7425425,0.010000228881835938,1.0,0.0,0,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287737.752543,0.010000228881835938,1.0,0.0,0,-0.04,-0.04,-0.04,-0.07,-1.19,-0.0,0.0,-0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1764287737.7734044,0.010000228881835938,1.0,0.0,0,-0.05,-0.29,-0.04,-0.07,-2.86,-0.35,0.0,0.0,0.07,0.05,0.0032724923474889422,0.2181661564992332,1.1346607034834477e-05,-0.0008630608158943787,0.0011346607034834477,-0.08630608158943787
1764287737.7835834,0.010175704956054688,1.0,0.0,0,-0.05,-0.26,-0.04,-1.19,-3.63,3.0,0.0,0.0,0.19,-0.03,0.006544984694978773,0.32724923474898304,-5.188517224263833e-05,-0.0025056288049247755,-0.006323177927747281,-0.16425679890303968
1764287737.8035843,0.010000228881835938,1.0,0.0,0,-0.13,-0.29,-0.11,-1.53,-4.46,5.02,0.01,-0.0,0.27,-0.06,0.015271630954949877,0.8726646259971105,-0.0003366541640499321,-0.006913220368970574,-0.014445605199053801,-0.2160810703819127
1764287737.8135848,0.010000228881835938,1.0,0.0,0,-0.18,-0.38,-0.16,-0.91,-5.16,6.07,0.01,-0.0,0.32,-0.05,0.020725784867432928,0.5454153912483051,-0.0006670696037023305,-0.008300572810508555,-0.03304154396523984,-0.13873524415379812
1764287737.833729,0.010000228881835938,1.0,0.0,0,-0.21,-0.37,-0.19,0.91,-5.72,6.83,0.01,-0.0,0.36,0.01,0.028361600344907423,0.3272492347488942,-0.001194206455865654,-0.009002169810581329,-0.03554374428893503,-0.00936604484680359
1764287737.8437295,0.010000228881835938,1.0,0.0,0,-0.21,-0.37,-0.19,1.05,-6.55,7.53,0.01,-0.0,0.36,0.01,0.03163409269239725,0.32724923474898304,-0.001391525363216406,-0.008489226660206128,-0.019731890735075197,0.05129431503752002
1764287737.8637304,0.010000228881835938,1.0,0.0,0,-0.22,-0.36,-0.24,1.05,-7.32,7.6,0.02,-0.0,0.43,0.03,0.033815754257389585,0.1090830782495722,-0.002188224320569976,-0.005659004250030186,-0.031536990867975234,0.13729746074067073
1764287737.8838007,0.010069131851196289,1.0,0.0,0,-0.22,-0.34,-0.25,0.98,-7.67,7.74,0.03,-0.0,0.44,0.03,0.03163409269239725,-0.2181661564992332,-0.002909692899120575,-0.004043213625643194,-0.04032715645330143,0.05896417538711063
1764287737.8938012,0.010000228881835938,1.0,0.0,0,-0.19,-0.3,-0.22,0.98,-7.74,7.81,0.03,0.0,0.45,0.03,0.030543261909900643,-0.10908307824966101,-0.0032320292588829957,-0.003625193947761396,-0.03223363597624207,0.041801967788179795
1764287737.9138021,0.010000228881835938,1.0,0.0,0,-0.11,-0.2,-0.13,1.12,-7.32,7.81,0.04,0.0,0.44,0.03,0.0272707695624117,-0.1090830782495722,-0.003828632207404148,-0.0021010629172568684,-0.03478724905527919,0.08454557762478387
1764287737.9238026,0.010000228881835938,1.0,0.0,0,-0.05,-0.13,-0.07,1.53,-8.51,9.27,0.04,0.0,0.51,0.04,0.02617993877991509,-0.10908307824966101,-0.00408449709911185,-0.0016850812600672782,-0.02558648917077022,0.041598165718959024
1764287737.9438035,0.010000228881835938,1.0,0.0,0,-0.01,-0.07,-0.01,0.42,-9.13,9.06,0.05,0.0,0.53,0.02,0.02290744643242526,-0.10908307824966101,-0.004315226201434097,-0.0017986681323955978,0.0018056275182143366,-0.01828757415895943
1764287737.953804,0.010000228881835938,1.0,0.0,0,0.04,-0.01,0.04,-1.26,-9.06,8.92,0.06,0.0,0.52,-0.04,0.02290744643242526,0.0,-0.004177037714512277,-0.002839157045143814,0.013818848692181973,-0.10404889127482164
