x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764288089.8347502,0.010000228881835938,0.0,1.0,0,-0.02,-0.03,-0.02,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.086873657740739e-07,8.846855572741674e-05,0.0,0.0
1764288089.8547513,0.010000228881835938,0.0,1.0,0,-0.02,-0.03,-0.03,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.086873657740739e-07,8.846855572741674e-05,0.0,0.0
1764288089.8647697,0.010016918182373047,0.0,1.0,0,-0.02,-0.02,-0.03,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.086873657740739e-07,8.846855572741674e-05,0.0,0.0
1764288089.8852234,0.010000228881835938,0.0,1.0,0,-0.21,-0.39,-0.2,0.07,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.086873657740739e-07,8.846855572741674e-05,0.0,0.0
1764288089.8998206,0.014594078063964844,0.0,1.0,0,-0.28,-0.44,-0.28,0.07,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.086873657740739e-07,8.846855572741674e-05,0.0,0.0
1764288089.9215791,0.010000228881835938,0.0,1.0,0,-0.43,-0.57,-0.37,3.63,-2.16,-0.91,0.0,0.0,0.0,0.15,-0.0021816615649932203,-0.10908307824966101,-3.3528773282220925e-06,0.0004379274838957059,-0.00032441899624480186,0.034945892816828916
1764288089.94158,0.010000228881835938,0.0,1.0,0,-0.59,-0.72,-0.62,5.93,-3.83,-3.14,0.0,0.01,0.02,0.31,-0.0043633231299864406,-0.10908307824983865,-0.00011624206308136209,0.0026143379272238754,-0.018466077921619473,0.12179258860922637
1764288089.9615812,0.010000228881835938,0.0,1.0,0,-0.7,-0.79,-0.7,7.81,-4.18,-4.18,0.0,0.01,0.0,0.4,-0.0021816615649932203,0.10908307824948338,-7.08707646652762e-05,0.0021498384800127113,0.0035736974132394295,-0.09201577307553777
1764288089.9715817,0.010000228881835938,0.0,1.0,0,-0.75,-0.82,-0.75,8.3,-4.18,-4.46,0.0,0.02,-0.01,0.42,0.0054541539124821625,0.7635815477475383,-0.00010075720212832096,0.0005499069302734583,-0.0029886437463044757,-0.1599931549739253
1764288089.9925175,0.010000467300415039,0.0,1.0,0,-0.78,-0.85,-0.79,8.72,-4.53,-5.44,0.0,0.02,-0.03,0.46,0.009817477042468159,0.43633231299859965,0.0004629962737268123,-0.003560697724775075,0.024043468656964606,-0.22679657609061543
1764288090.003295,0.010764598846435547,0.0,1.0,0,-0.78,-0.85,-0.81,8.58,-4.81,-5.58,0.0,0.03,-0.02,0.46,0.011999138607460935,0.21816615649927762,0.0007028457254865117,-0.005566436294166088,0.02398494517596994,-0.20057385693910135
1764288090.023296,0.010000228881835938,0.0,1.0,0,-0.82,-0.88,-0.84,9.83,-4.95,-5.65,-0.0,0.03,-0.02,0.5,0.013089969389957545,0.10908307824966101,0.0008825828865908214,-0.00636670426211694,0.0130379462942809,0.007735256657515066
1764288090.0353203,0.01201629638671875,0.0,1.0,0,-0.81,-0.86,-0.82,10.39,-5.16,-5.02,-0.0,0.04,0.0,0.52,0.014180800172453711,0.1090830782496166,0.0007568119994747491,-0.006281820418665873,-0.012577088711607232,0.008488384345106681
