x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764287797.938591,0.010000228881835938,1.0,0.0,0,-0.04,-0.02,-0.03,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287797.9585922,0.010000228881835938,1.0,0.0,0,-0.04,-0.03,-0.04,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287797.9685926,0.010000228881835938,1.0,0.0,0,-0.03,-0.03,-0.04,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287797.9892714,0.01067042350769043,1.0,0.0,0,-0.01,-0.0,-0.05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287797.9992845,0.01001286506652832,1.0,0.0,0,-0.02,-0.02,-0.05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287798.019323,0.010035991668701172,1.0,0.0,0,-0.01,-0.02,-0.06,-0.0,-2.51,2.23,0.0,0.0,0.14,0.0,-0.0010908307824966101,0.0,0.0,0.0,0.0,0.0
1764287798.039324,0.010000228881835938,1.0,0.0,0,-0.02,-0.02,-0.06,-0.21,-5.58,5.02,0.0,0.0,0.31,0.0,0.0010908307824966101,0.10908307824966101,-6.970185585997157e-05,-0.0006961321118406083,-0.006970185585997157,-0.06961321118406083
1764287798.0493245,0.010000228881835938,1.0,0.0,0,-0.02,-0.02,-0.06,-1.05,-5.86,6.41,0.01,-0.0,0.35,-0.04,0.0043633231299859965,0.32724923474893863,-3.1385777586656616e-05,-0.0023370719967727993,0.0038316078273314957,-0.1640939884932191
1764287798.077713,0.013520240783691406,1.0,0.0,0,-0.13,-0.14,-0.16,-0.0,-4.81,5.09,0.02,-0.0,0.29,-0.01,0.017453292519943098,0.9817477042467715,-0.0007170108876008996,-0.01291147205198584,-0.03330696993639748,-0.39902237679116936
1764287798.0877135,0.010000228881835938,1.0,0.0,0,-0.13,-0.14,-0.16,0.84,-8.02,8.16,0.02,-0.0,0.29,-0.01,0.017453292519943098,0.0,-0.0011423524477747193,-0.016992834479005126,-0.042534156017381974,-0.4081362427019286
1764287798.1080985,0.010379791259765625,1.0,0.0,0,-0.18,-0.18,-0.2,0.77,-8.65,8.09,0.03,-0.0,0.48,0.03,0.018544123302439708,-0.10908307824966101,-0.0023767368684977086,-0.02163688627001914,-0.06012846942233807,-0.1588679040867902
1764287798.1280994,0.010000467300415039,1.0,0.0,0,-0.21,-0.2,-0.23,1.39,-8.44,7.88,0.03,0.0,0.47,0.06,0.014180800172453711,-0.21816615649932203,-0.003661579312488783,-0.018696997980326646,-0.05877500216655562,0.2119087977983103
1764287798.1381,0.010000228881835938,1.0,0.0,0,-0.11,-0.1,-0.13,1.32,-7.67,8.16,0.04,0.0,0.46,0.04,0.013089969389957545,-0.1090830782496166,-0.004157926466647588,-0.017011319133898972,-0.04963471541588049,0.1685678846427674
