x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764287591.9675076,0.010000228881835938,0.0,1.0,0,-0.02,-0.03,-0.02,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.00017265947535571868,2.4765985893182574e-06,0.01726594753557187,0.00024765985893182574
1764287591.9875085,0.010000228881835938,0.0,1.0,0,-0.02,-0.03,-0.02,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.00034531921399327814,4.952794917301162e-06,0.00855880961396771,0.00024132060012505008
1764287592.0001214,0.012609720230102539,0.0,1.0,0,-0.02,-0.03,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0006906394708243724,9.90398034161899e-06,0.034532025683109424,0.0004951185424317828
1764287592.0201223,0.010000228881835938,0.0,1.0,0,-0.21,-0.23,-0.19,-0.0,-0.0,-0.28,-0.0,0.0,-0.01,0.0,0.0,0.0,0.0008632999838713573,1.2378969212356594e-05,0.008561083800184832,0.00024132482558947288
1764287592.0301228,0.010000228881835938,0.0,1.0,0,-0.28,-0.3,-0.27,0.14,-1.67,-1.26,0.0,0.0,0.01,0.05,0.0010908307824966101,0.10908307824966101,0.0008707260131073369,-0.0005054092167107171,0.000742602923597957,-0.051778818592307374
1764287592.0501237,0.010000228881835938,0.0,1.0,0,-0.42,-0.44,-0.4,4.39,-2.3,-2.09,0.0,0.0,0.01,0.22,0.0054541539124821625,0.21816615649927762,0.0010138939336683528,-0.004213968080915453,0.01431679205610159,-0.3708558864204736
1764287592.0601242,0.010000228881835938,0.0,1.0,0,-0.49,-0.52,-0.47,5.37,-2.72,-2.72,0.0,0.01,0.0,0.27,0.006544984694978773,0.10908307824966101,0.0012165110993076489,-0.005933344623433534,0.02026171656392961,-0.17193765425180807
1764287592.080125,0.010000228881835938,0.0,1.0,0,-0.61,-0.61,-0.56,6.69,-3.21,-3.28,0.0,0.01,-0.0,0.33,0.009817477042468159,0.21816615649927762,0.0015305440769735057,-0.008678622054708818,0.03140329776658568,-0.27452774312752837
1764287592.0901256,0.010000228881835938,0.0,1.0,0,-0.61,-0.61,-0.56,7.74,-3.77,-3.77,0.0,0.01,-0.0,0.33,0.01090830782496477,0.10908307824966101,0.0018185284471083918,-0.010047507892034346,0.02879843701348861,-0.13688858373255286
1764287592.1101265,0.010000228881835938,0.0,1.0,0,-0.7,-0.7,-0.67,8.3,-3.97,-3.97,0.0,0.02,0.0,0.41,0.014180800172453711,0.1090830782496166,0.002187801643839027,-0.010632383046678129,0.03692731967306351,-0.05848751546437825
1764287592.1302545,0.010121583938598633,0.0,1.0,0,-0.77,-0.74,-0.72,8.02,-4.11,-4.46,-0.0,0.02,-0.01,0.41,0.017453292519943098,0.1090830782496166,0.0031306385799596548,-0.01333571293689717,0.0572929013812562,-0.19450894077470693
1764287592.140526,0.010265350341796875,0.0,1.0,0,-0.81,-0.77,-0.75,8.65,-4.25,-4.32,-0.0,0.03,-0.0,0.43,0.018544123302439708,0.10908307824966101,0.0034175669821934207,-0.01400220499453031,0.028692840223376592,-0.0666492057633139
1764287592.160527,0.010000228881835938,0.0,1.0,0,-0.84,-0.79,-0.76,9.76,-4.39,-4.46,-0.0,0.03,-0.0,0.47,0.018544123302439708,0.0,0.0036408722746226196,-0.014036761689252053,0.022330529242919894,-0.0034556694721743497
1764287592.1705275,0.010000228881835938,0.0,1.0,0,-0.8,-0.76,-0.73,9.97,-4.74,-4.74,-0.0,0.04,0.0,0.49,0.018544123302439708,0.0,0.0037543366348931073,-0.013838035163296958,0.011346436027048767,0.01987265259550952
1764287592.1905284,0.010000228881835938,0.0,1.0,0,-0.78,-0.74,-0.73,9.34,-5.02,-4.95,-0.0,0.05,0.0,0.48,0.018544123302439708,0.0,0.0037214112668308985,-0.013354685446263836,-0.0032925368062208804,0.048334971703312135
1764287592.2005289,0.010000228881835938,0.0,1.0,0,-0.75,-0.74,-0.72,9.27,-5.16,-5.02,-0.0,0.05,0.0,0.48,0.018544123302439708,0.0,0.0037519497494518106,-0.012639017968770982,0.0030538482620912077,0.0715667477492854
1764287592.22053,0.010000228881835938,0.0,1.0,0,-0.72,-0.71,-0.7,11.09,-5.44,-5.44,-0.0,0.06,0.0,0.55,0.018544123302439708,0.0,0.003735433576624203,-0.011462717956129076,-0.0016516172827607534,0.11763000126419065
1764287592.240754,0.010000228881835938,0.0,1.0,0,-0.67,-0.65,-0.63,11.09,-5.37,-5.51,-0.0,0.06,-0.0,0.55,0.017453292519943098,0.0,0.0035448399962358934,-0.011317398313326343,-0.00553310010209529,-0.022906079300488713
1764287592.2507544,0.010000228881835938,0.0,1.0,0,-0.6,-0.59,-0.57,10.11,-5.09,-5.23,-0.0,0.07,-0.0,0.51,0.018544123302439708,0.10908307824966101,0.0033125778899494307,-0.011801878189741544,-0.02322621062864627,-0.04844798764152003
1764287592.274879,0.010000228881835938,0.0,1.0,0,-0.52,-0.51,-0.49,6.9,-3.7,-3.42,-0.0,0.08,0.01,0.35,0.019634954084936318,0.10908307824966101,0.002741245762227784,-0.013542803732915498,-0.033391723210085544,-0.10848414926738492
1764287592.29488,0.010000228881835938,0.0,1.0,0,-0.53,-0.52,-0.52,9.83,-5.93,-5.16,0.0,0.08,0.02,0.51,0.022907446432425704,0.21816615649932203,0.0019476879001487646,-0.016736978627974075,-0.03628043790686597,-0.18551371293940022
1764287592.3055599,0.010671615600585938,0.0,1.0,0,-0.53,-0.52,-0.52,10.04,-5.93,-5.16,0.0,0.08,0.02,0.51,0.022907446432425704,0.0,0.001672413421042851,-0.018248108558140963,-0.027527447910591363,-0.1511129930166888
1764287592.3255608,0.010000228881835938,0.0,1.0,0,-0.44,-0.45,-0.36,10.74,-5.72,-3.28,0.0,0.1,0.07,0.51,0.02399827721492187,0.0,0.0009810789838358147,-0.019616239850321016,-0.026030127480236587,-0.06418876541123275
1764287592.3455622,0.010000228881835938,0.0,1.0,0,-0.42,-0.43,-0.35,10.39,-5.44,-5.16,0.0,0.1,0.01,0.52,0.02508910799741848,0.0,0.00020526070196291712,-0.020625289439687222,-0.03477494932471181,-0.05475939442676214
1764287592.3555627,0.010000228881835938,0.0,1.0,0,-0.39,-0.39,-0.32,9.34,-5.37,-4.88,0.0,0.11,0.01,0.48,0.027270769562411257,0.21816615649927762,-0.0005915189830383305,-0.023869536538497105,-0.07967796850012476,-0.32442470988098826
1764287592.3798313,0.010000228881835938,0.0,1.0,0,-0.35,-0.36,-0.33,6.9,-3.42,-3.83,0.0,0.12,-0.01,0.35,0.030543261909900643,0.1090830782496166,-0.0013646201811559067,-0.02771061588469692,-0.03412700845966121,-0.1748898126991527
1764287592.3998322,0.010000228881835938,0.0,1.0,0,-0.39,-0.38,-0.36,9.62,-5.37,-5.72,0.0,0.12,-0.01,0.51,0.03381575425739003,0.21816615649927762,-0.001990884443675789,-0.031204039454399535,-0.06262642625198822,-0.3493423569702614
1764287592.4212081,0.010000228881835938,0.0,1.0,0,-0.37,-0.37,-0.34,6.21,-3.14,-5.51,0.0,0.13,-0.01,0.46,0.03381575425739003,0.0,-0.002753659972954736,-0.03338145983652252,-0.07627755292789473,-0.21774203821229854
1764287592.4440203,0.010000228881835938,0.0,1.0,0,-0.41,-0.42,-0.43,9.9,-4.25,-4.67,0.0,0.13,-0.01,0.48,0.03272492347489386,-0.1090830782496166,-0.0038138577133102203,-0.033014279436865746,-0.058343401827265495,0.07084357295483734
1764287592.454021,0.010000228881835938,0.0,1.0,0,-0.51,-0.41,-0.42,9.76,-3.63,-4.32,0.0,0.14,-0.02,0.46,0.030543261909900643,-0.21816615649932203,-0.004173017599830242,-0.03162330499850041,-0.035915988652002184,0.13909744383653333
1764287592.4829292,0.012963294982910156,0.0,1.0,0,-0.47,-0.41,-0.42,6.21,-2.65,-2.37,0.0,0.15,0.01,0.29,0.027270769562411257,-0.21816615649932203,-0.005954544068095924,-0.028226533258354003,-0.11723375717003215,0.19828752828496832
1764287592.5166173,0.012442588806152344,0.0,1.0,0,-0.46,-0.41,-0.42,7.18,-3.14,-2.51,0.0,0.16,0.02,0.33,0.027270769562411257,0.0,-0.00827944166380723,-0.02393329364479868,-0.0897010095140427,0.15670883160252558
1764287592.5276136,0.01099538803100586,0.0,1.0,0,-0.46,-0.44,-0.42,9.06,-4.04,-4.53,0.0,0.16,-0.01,0.45,0.027270769562411257,0.0,-0.009078458317357097,-0.022364894002591562,-0.07990166535498666,0.1568399642207119
