x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764287932.0179155,0.010000467300415039,0.0,1.0,0,-0.03,-0.02,-0.02,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.00017265510934283412,3.239300342627871e-06,0.0,0.0
1764287932.0379164,0.010000228881835938,0.0,1.0,0,-0.03,-0.03,-0.02,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.00017265510934283412,3.239300342627871e-06,0.0,0.0
1764287932.047917,0.010000228881835938,0.0,1.0,0,-0.03,-0.03,-0.01,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.00017265510934283412,3.239300342627871e-06,0.0,0.0
1764287932.0679176,0.010000228881835938,0.0,1.0,0,-0.2,-0.2,-0.18,-0.0,-0.0,-0.07,0.0,0.0,-0.0,0.0,0.0,0.0,0.00017265510934283412,3.239300342627871e-06,0.0,0.0
1764287932.0804353,0.012514829635620117,0.0,1.0,0,-0.27,-0.28,-0.25,-0.0,-0.49,-0.07,0.0,0.0,0.01,0.01,-0.0010908307824966101,-0.10908307824966101,0.00017265510934283412,3.239300342627871e-06,0.0,0.0
1764287932.1004362,0.010000228881835938,0.0,1.0,0,-0.39,-0.39,-0.38,5.09,-2.23,0.07,0.0,0.0,0.07,0.21,-0.0021816615649932203,-0.10908307824966101,0.00016616973339367291,0.00034824252680465406,-0.000648537594916121,0.03450032264620262
1764287932.1104531,0.010015010833740234,0.0,1.0,0,-0.45,-0.46,-0.44,5.51,-2.72,-1.6,0.0,0.01,0.03,0.26,-0.0021816615649932203,0.0,-9.166228156054501e-06,0.0007832016576232448,-0.01753359615497274,0.04349591308185907
1764287932.130454,0.010000228881835938,0.0,1.0,0,-0.56,-0.58,-0.58,6.0,-3.14,-3.7,0.0,0.01,-0.02,0.31,-0.0021816615649932203,0.0,-0.0007832370275604461,0.0013954256070638493,-0.0426179890613998,0.01804276201133881
1764287932.1404548,0.010000228881835938,0.0,1.0,0,-0.65,-0.58,-0.58,7.32,-3.49,-4.6,0.0,0.01,-0.02,0.31,-0.0010908307824966101,0.10908307824966101,-0.0017750875811932687,0.0014338889105105501,-0.09918505536328226,0.003846330344670079
1764287932.1607955,0.01033639907836914,0.0,1.0,0,-0.61,-0.68,-0.7,8.51,-4.18,-4.39,0.0,0.02,-0.01,0.43,0.0032724923474893863,0.32724923474893863,-0.0022485076284253225,0.0007783181219505053,-0.04734200472320538,-0.06555707885600448
1764287932.1807964,0.010000228881835938,0.0,1.0,0,-0.68,-0.72,-0.75,8.99,-4.39,-4.67,0.0,0.02,-0.01,0.45,0.007635815477475383,0.21816615649932203,-0.0032974533894769564,-0.003696297119478942,-0.05192215618627927,-0.24462784812158134
1764287932.1908014,0.010000228881835938,0.0,1.0,0,-0.69,-0.73,-0.74,8.65,-4.95,-5.09,0.0,0.03,-0.0,0.46,0.009817477042468159,0.21816615649927762,-0.003990974726382213,-0.00855116005280987,-0.06935213369052562,-0.4854862933330928
1764287932.2115026,0.010195255279541016,0.0,1.0,0,-0.71,-0.74,-0.75,8.86,-4.95,-5.16,0.0,0.03,-0.01,0.46,0.011999138607460935,0.0,-0.0044379553163489405,-0.010187655545788044,-0.044698058996672785,-0.1636495492978174
1764287932.2222695,0.010763883590698242,0.0,1.0,0,-0.71,-0.75,-0.76,10.18,-5.02,-5.65,0.0,0.04,-0.02,0.52,0.011999138607460935,0.0,-0.005181247772521935,-0.010846987292710164,-0.07432924561729948,-0.06593317469221205
1764287932.24533,0.01137089729309082,0.0,1.0,0,-0.71,-0.74,-0.74,10.25,-4.88,-5.37,0.0,0.04,-0.01,0.51,0.011999138607460935,0.0,-0.006349749942924809,-0.009841172526422248,-0.06254388789805887,0.046523676449705675
1764287932.2588642,0.013530731201171875,0.0,1.0,0,-0.67,-0.67,-0.7,9.27,-4.81,-5.23,-0.0,0.05,-0.01,0.48,0.011999138607460935,0.0,-0.007062164056689468,-0.009717023476116804,-0.07124141137646589,0.012414905030544432
1764287932.2785666,0.01969766616821289,0.0,1.0,0,-0.64,-0.64,-0.66,10.11,-5.16,-5.02,0.0,0.05,0.0,0.51,0.011999138607460935,0.0,-0.008144517753454927,-0.010081133915603502,-0.1082353696765459,-0.036411043948669786
1764287932.2885673,0.010000228881835938,0.0,1.0,0,-0.68,-0.59,-0.61,11.23,-5.09,-4.95,0.0,0.06,0.0,0.54,0.011999138607460935,0.0,-0.008515178012782343,-0.00987275511156982,-0.03706602593274155,0.020837880403368203
1764287932.3050992,0.01652836799621582,0.0,1.0,0,-0.62,-0.55,-0.55,9.97,-5.58,-5.44,0.0,0.06,0.0,0.54,0.011999138607460935,0.0,-0.008868726516684688,-0.004635067159707518,-0.03535485039023456,0.5237687951862302
1764287932.317267,0.012163162231445312,0.0,1.0,0,-0.59,-0.53,-0.54,9.62,-5.23,-5.58,-0.0,0.07,-0.01,0.5,0.011999138607460935,0.0,-0.009081759094027753,0.0014375279259808416,-0.021303257734306413,0.6072595085688359
1764287932.342071,0.010463476181030273,0.0,1.0,0,-0.49,-0.44,-0.45,7.39,-3.35,-3.63,-0.0,0.08,-0.01,0.36,0.011999138607460935,0.0,-0.009627962492054554,0.012301427840638368,-0.03611399719569697,0.4273224532671094
1764287932.3621929,0.01011514663696289,0.0,1.0,0,-0.49,-0.45,-0.46,9.62,-4.88,-5.16,-0.0,0.09,-0.01,0.49,0.015271630954950322,0.21816615649927762,-0.010388907073464182,0.01102347222498512,-0.04406412885895605,-0.14986148124420673
