x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764287233.0876458,0.010000228881835938,1.0,0.0,0,0.16,0.15,0.16,-0.91,-8.72,8.51,0.05,0.0,0.5,-0.03,0.017453292519943098,0.1090830782496166,-0.006976627736400509,-0.010603311063315246,0.012864186602801198,-0.2188411763100362
1764287233.0976462,0.010000228881835938,1.0,0.0,0,0.17,0.17,0.17,-0.91,-9.69,8.92,0.05,0.0,0.54,-0.02,0.019634954084936318,0.21816615649932203,-0.006752423703932475,-0.012787338201753595,0.02242040324680339,-0.21840271384383492
1764287233.1176472,0.010000228881835938,1.0,0.0,0,0.14,0.14,0.15,-0.91,-9.41,9.55,0.06,-0.0,0.55,-0.03,0.020725784867432484,0.1090830782496166,-0.006123788133094443,-0.014552756830410463,0.034987928604834906,-0.062112728673868745
1764287233.1276476,0.010000228881835938,1.0,0.0,0,0.06,0.09,0.07,-0.63,-8.65,8.51,0.07,-0.0,0.5,-0.02,0.020725784867432484,0.0,-0.005443545939580741,-0.016713378499571885,0.06802421935137026,-0.21606216691614222
1764287233.1476865,0.01003718376159668,1.0,0.0,0,0.01,0.03,0.0,-1.05,-8.72,8.16,0.07,-0.0,0.49,-0.03,0.021816615649929094,0.0,-0.004291975297204154,-0.02509501713625717,0.05118543113131757,-0.35452999154674814
1764287233.157687,0.010000228881835938,1.0,0.0,0,-0.05,-0.03,-0.04,-1.12,-9.9,8.92,0.08,-0.0,0.54,-0.02,0.022907446432425704,0.10908307824966101,-0.0038605525451966827,-0.02674150350635074,0.04314227520074709,-0.16464863700935695
1764287233.1776881,0.010000228881835938,1.0,0.0,0,-0.2,-0.07,-0.1,0.49,-8.79,9.83,0.08,-0.0,0.54,-0.0,0.022907446432425704,0.0,-0.0032906425403478323,-0.022699986702184205,0.03444130930589928,0.3278313060921967
1764287233.1876886,0.010000228881835938,1.0,0.0,0,-0.2,-0.07,-0.1,1.12,-8.65,9.83,0.08,-0.0,0.54,-0.0,0.022907446432425704,0.0,-0.002914865938801192,-0.021752384259928093,0.03757766015466402,0.09476024422561125
1764287233.2076895,0.010000228881835938,1.0,0.0,0,-0.23,-0.14,-0.15,1.05,-8.23,9.69,0.1,-0.0,0.52,0.01,0.020725784867432484,-0.21816615649932203,-0.002468426249592426,-0.026357271022889428,0.016568525292282033,-0.2694943596204702
1764287233.2278874,0.01000070571899414,1.0,0.0,0,-0.24,-0.16,-0.17,1.05,-8.23,10.39,0.1,-0.0,0.54,-0.0,0.01636246173744693,-0.21816615649927762,-0.0023886825828931535,-0.02216350170301773,-0.0028346731881345733,0.3087867371766251
1764287233.237888,0.010000467300415039,1.0,0.0,0,-0.2,-0.14,-0.15,0.84,-7.81,9.27,0.11,-0.0,0.49,0.01,0.013089969389957545,-0.32724923474893863,-0.002470413780325309,-0.019772486915410337,-0.008173119743215551,0.23910147876073928
1764287233.2578893,0.010000228881835938,1.0,0.0,0,-0.12,-0.06,-0.09,1.05,-7.18,7.25,0.11,-0.0,0.42,0.04,0.008726646259971549,-0.21816615649932203,-0.002610665271694401,-0.014640880698003844,-0.008944289667267569,0.21317561536329244
1764287233.2678897,0.010000228881835938,1.0,0.0,0,-0.05,-0.01,-0.03,1.05,-7.81,7.39,0.12,0.0,0.44,0.05,0.007635815477475383,-0.1090830782496166,-0.0027641486337417476,-0.012947317744326892,-0.015348336204734636,0.16935629536769525
1764287233.2884948,0.010603904724121094,1.0,0.0,0,0.0,0.04,0.02,0.91,-7.95,7.74,0.12,0.0,0.45,0.04,0.0043633231299859965,-0.1090830782496166,-0.0032295174624423773,-0.010093197693286982,-0.023012826849866386,0.13398919759595174
1764287233.2984953,0.010000228881835938,1.0,0.0,0,0.04,0.07,0.06,-0.77,-7.95,7.6,0.13,0.0,0.45,-0.02,0.0043633231299859965,0.0,-0.0035321851233094392,-0.009019839901807103,-0.0302667660867062,0.10733577914798786
1764287233.319043,0.010496377944946289,1.0,0.0,0,0.06,0.09,0.08,-1.53,-8.51,7.39,0.13,0.0,0.46,-0.03,0.006544984694978773,0.21816615649927762,-0.0040843039736806475,-0.010977359493769434,-0.02331689348906707,-0.2161285698702997
1764287233.3290434,0.010000228881835938,1.0,0.0,0,0.08,0.11,0.08,-1.81,-7.95,6.48,0.13,0.0,0.46,-0.03,0.008726646259971549,0.21816615649927762,-0.0040843039736806475,-0.010977359493769434,0.0,0.0
1764287233.3491745,0.010000228881835938,1.0,0.0,0,0.07,0.08,0.07,-1.81,-8.44,5.72,0.14,-0.0,0.41,-0.01,0.015271630954950322,0.32724923474893863,-0.004507126109146498,-0.018022569676383604,0.0,0.0
1764287233.3691754,0.010000228881835938,1.0,0.0,0,-0.02,0.0,-0.01,-2.09,-8.65,5.51,0.14,-0.0,0.41,-0.02,0.021816615649929094,0.32724923474893863,-0.004960708753728227,-0.024827196650645256,-0.02370922191889946,-0.3622946940698313
1764287233.379191,0.010015010833740234,1.0,0.0,0,-0.08,-0.06,-0.07,-1.74,-9.13,5.93,0.15,-0.0,0.44,-0.01,0.02508910799741848,0.32724923474893863,-0.0052235368725783715,-0.028805254663716084,-0.026282811885014468,-0.3978058013070829
1764287233.399636,0.01043248176574707,1.0,0.0,0,-0.13,-0.11,-0.12,0.91,-8.58,7.04,0.15,-0.0,0.45,0.05,0.03163409269239725,0.32724923474893863,-0.005758404148879848,-0.03599782392449313,-0.02695846004967528,-0.34697920332473764
1764287233.4098144,0.0101776123046875,1.0,0.0,0,-0.05,-0.14,-0.17,1.12,-7.18,7.46,0.16,0.0,0.42,0.03,0.03272492347489386,0.10908307824966101,-0.006172616073584436,-0.039491981608382076,-0.041421192470458834,-0.3494157683888943
1764287233.4298153,0.010000228881835938,1.0,0.0,0,-0.09,-0.19,-0.21,0.98,-6.0,6.97,0.16,0.0,0.37,0.01,0.029452431127404477,-0.21816615649927762,-0.008050113274416848,-0.03914275442849657,-0.1312760391233514,0.239139330952165
1764287233.4398158,0.010000228881835938,1.0,0.0,0,-0.13,-0.2,-0.23,1.81,-5.86,7.39,0.17,0.0,0.38,0.03,0.02617993877991509,-0.32724923474893863,-0.008050113274416848,-0.03914275442849657,0.0,0.0
1764287233.4598167,0.010000228881835938,1.0,0.0,0,-0.11,-0.17,-0.18,1.81,-5.3,8.3,0.17,0.0,0.39,0.01,0.019634954084936318,-0.32724923474893863,-0.01020593441184836,-0.032014361341083486,-0.13236734626129731,0.5052206759171618
1764287233.4698172,0.010000228881835938,1.0,0.0,0,-0.03,-0.08,-0.09,2.3,-5.09,7.6,0.18,0.0,0.37,0.03,0.015271630954950322,-0.43633231299859965,-0.01085188194078901,-0.029233354318712657,-0.06459475289406491,0.27810070223708294
1764287233.4898183,0.010000228881835938,1.0,0.0,0,0.04,-0.02,-0.02,0.98,-5.44,7.18,0.18,0.0,0.36,0.0,0.007635815477475383,-0.43633231299855524,-0.012212978363697058,-0.02430723515346056,-0.1361096422908048,0.49261191652520964
1764287233.4998188,0.010000228881835938,1.0,0.0,0,0.09,0.03,0.04,-0.98,-6.97,7.32,0.18,0.0,0.36,0.0,0.0043633231299859965,-0.32724923474893863,-0.012212978363697058,-0.02430723515346056,0.0,0.0
1764287233.522669,0.012845754623413086,1.0,0.0,0,0.12,0.06,0.07,-0.98,-7.25,7.53,0.19,0.0,0.43,-0.04,0.006544984694978773,0.32724923474893863,-0.01392913663653772,-0.02422333426147638,-0.10618735045939687,-0.22447472290441084
1764287233.538205,0.015533447265625,1.0,0.0,0,0.14,0.09,0.1,-1.12,-7.32,7.11,0.19,0.0,0.42,-0.03,0.008726646259971549,0.21816615649927762,-0.014324123869179584,-0.02942050745076541,-0.03949872326418635,-0.5197173189289028
1764287233.5482805,0.010063409805297852,1.0,0.0,0,0.15,0.11,0.12,-1.12,-7.67,7.18,0.2,-0.0,0.43,-0.03,0.01090830782496477,0.21816615649932203,-0.014781763461362285,-0.034911573661664086,-0.045763959218270145,-0.5491066210898676
1764287233.5682814,0.010000228881835938,1.0,0.0,0,0.13,0.08,0.1,-1.26,-7.18,6.83,0.2,-0.0,0.4,-0.04,0.011999138607460935,0.0,-0.015350742661929928,-0.04704902114135834,-0.024659325725640002,-0.6294036750041698
1764287233.5785527,0.010267019271850586,1.0,0.0,0,0.04,0.0,0.02,-1.12,-7.25,6.62,0.21,-0.0,0.4,-0.03,0.013089969389957545,0.10908307824966101,-0.01554374193718333,-0.05318386699279287,-0.019299927525340266,-0.6134845851434534
1764287233.5985537,0.010000228881835938,1.0,0.0,0,-0.02,-0.05,-0.03,-1.32,-6.97,6.62,0.21,-0.0,0.39,-0.04,0.015271630954950322,0.21816615649927762,-0.01639590486118836,-0.06758767880114558,-0.05933704956544439,-0.8577631928768259
1764287233.6128926,0.014336109161376953,1.0,0.0,0,-0.07,-0.1,-0.08,-0.0,-7.6,7.39,0.22,-0.0,0.43,0.0,0.017453292519943098,0.21816615649927762,-0.016610558935755915,-0.07101841451459068,-0.021465407456755514,-0.3430735713445099
1764287233.643366,0.011058807373046875,1.0,0.0,0,-0.13,-0.12,-0.14,0.63,-4.95,5.02,0.22,-0.0,0.29,0.02,0.017453292519943098,0.0,-0.018007659300664614,-0.08981935568557331,-0.051850397968289386,-0.7817452532343783
1764287233.6533666,0.010000228881835938,1.0,0.0,0,-0.17,-0.16,-0.17,0.84,-6.62,6.62,0.23,-0.0,0.38,0.03,0.017453292519943098,0.0,-0.018724996024635843,-0.10062040509933734,-0.07173367239712292,-1.080104941376403
1764287233.679807,0.013365745544433594,1.0,0.0,0,-0.16,-0.17,-0.17,0.84,-5.16,5.09,0.24,0.0,0.3,0.03,0.013089969389957545,-0.1090830782496166,-0.020223110393136956,-0.13584680325277887,-0.0724147115269691,-2.0282160978791097
1764287233.7013369,0.010000228881835938,1.0,0.0,0,-0.08,-0.08,-0.1,0.98,-7.6,7.95,0.24,0.0,0.45,0.03,0.01090830782496477,-0.1090830782496166,-0.021369260354104025,-0.19635952290124337,0.0,0.0
1764287233.7113376,0.010000467300415039,1.0,0.0,0,-0.03,-0.02,-0.04,0.42,-7.18,7.53,0.25,0.0,0.42,0.01,0.009817477042468159,-0.10908307824966101,-0.022330277982543834,-0.26528465428854986,-0.09610176284398086,-6.892513138730649
